epoch;accuracy;loss;val_accuracy;val_loss
0;0.5331971645355225;1.7135722637176514;0.6725146174430847;0.7898024916648865
1;0.8457610011100769;0.4167332947254181;0.6666666865348816;0.8649038672447205
2;0.9448416829109192;0.22820425033569336;0.707602322101593;0.7863128781318665
3;0.9867211580276489;0.12434323132038116;0.719298243522644;0.8277638554573059
4;0.9724208116531372;0.1281721591949463;0.7017543911933899;0.860727846622467
5;0.9765066504478455;0.10824213176965714;0.7134503126144409;0.9127998352050781
6;0.9928498268127441;0.0650850161910057;0.6900584697723389;0.9038407802581787
7;0.99387127161026;0.05284705385565758;0.6959064602851868;0.8973258137702942
8;0.9948927760124207;0.04758693277835846;0.707602322101593;0.9789403080940247
9;0.9928498268127441;0.04710366204380989;0.6959064602851868;0.9623321890830994
