epoch;accuracy;loss;val_accuracy;val_loss
0;0.800000011920929;0.45207539200782776;0.897826075553894;0.25630858540534973
1;0.9010869860649109;0.2401788979768753;0.928260862827301;0.2076108753681183
2;0.9326087236404419;0.1786787062883377;0.904347836971283;0.2153230756521225
3;0.9510869383811951;0.1382015496492386;0.926086962223053;0.19528035819530487
4;0.959782600402832;0.11700465530157089;0.908695638179779;0.23319800198078156
5;0.966847836971283;0.10818260163068771;0.9239130616188049;0.20953281223773956
6;0.97826087474823;0.07941485196352005;0.9195652008056641;0.22055195271968842
7;0.978804349899292;0.07314582169055939;0.9239130616188049;0.19797518849372864
8;0.989130437374115;0.05915338918566704;0.926086962223053;0.19827081263065338
9;0.989130437374115;0.0527627170085907;0.917391300201416;0.21553415060043335
