epoch;accuracy;loss;val_accuracy;val_loss
0;0.770108699798584;0.5149587392807007;0.886956512928009;0.2763117253780365
1;0.883695662021637;0.27617985010147095;0.8826087117195129;0.2521030008792877
2;0.9206521511077881;0.20206774771213531;0.886956512928009;0.24648621678352356
3;0.935869574546814;0.15901009738445282;0.917391300201416;0.2177271991968155
4;0.9521738886833191;0.14345569908618927;0.904347836971283;0.22660605609416962
5;0.968478262424469;0.10653670877218246;0.915217399597168;0.21695972979068756
6;0.9657608866691589;0.10426075756549835;0.915217399597168;0.22765202820301056
7;0.9728260636329651;0.0910423994064331;0.908695638179779;0.21714891493320465
8;0.97826087474823;0.07521507143974304;0.908695638179779;0.22090810537338257
9;0.976630449295044;0.07544825971126556;0.906521737575531;0.25960367918014526
