epoch;accuracy;loss;val_accuracy;val_loss
0;0.40755873918533325;5.411251068115234;0.4736842215061188;2.3539865016937256
1;0.5280898809432983;1.4049603939056396;0.5380116701126099;1.3036479949951172
2;0.570990800857544;0.9375678300857544;0.5497075915336609;0.9975000619888306
3;0.5730336904525757;0.9890034198760986;0.5730994343757629;0.9502515196800232
4;0.6077630519866943;0.8712838888168335;0.5087719559669495;1.05362069606781
5;0.6588355302810669;0.7610363364219666;0.5029239654541016;1.0318557024002075
6;0.7037793397903442;0.6913937926292419;0.46198830008506775;1.1116794347763062
7;0.6700714826583862;0.7742875218391418;0.42105263471603394;1.1757538318634033
8;0.6292135119438171;0.8070526123046875;0.49707603454589844;1.2184971570968628
9;0.6057201027870178;0.9669517874717712;0.5497075915336609;1.3666348457336426
