epoch;accuracy;loss;val_accuracy;val_loss
0;0.4525025486946106;2.000431537628174;0.6608186960220337;0.8143405318260193
1;0.7027578949928284;0.6365684866905212;0.6140350699424744;0.773714542388916
2;0.8876404762268066;0.39244982600212097;0.6491228342056274;0.7681275010108948
3;0.9458631277084351;0.27598750591278076;0.6374269127845764;0.794971764087677
4;0.9816138744354248;0.18812772631645203;0.6140350699424744;0.7853797674179077
5;0.9948927760124207;0.13735762238502502;0.6140350699424744;0.8233559727668762
6;0.9989785552024841;0.09599975496530533;0.6257309913635254;0.8258101344108582
7;0.9989785552024841;0.07006194442510605;0.5906432867050171;0.8453192710876465
8;0.9989785552024841;0.05294710397720337;0.6374269127845764;0.8797794580459595
9;0.9989785552024841;0.04148956015706062;0.6140350699424744;0.8857842087745667
