epoch;accuracy;loss;val_accuracy;val_loss
0;0.76902174949646;0.49638867378234863;0.893478274345398;0.2653002142906189
1;0.876086950302124;0.2866848409175873;0.915217399597168;0.23220060765743256
2;0.9103260636329651;0.2204970270395279;0.9217391014099121;0.21207964420318604
3;0.945652186870575;0.1593799889087677;0.9239130616188049;0.20672906935214996
4;0.955978274345398;0.12406570464372635;0.9217391014099121;0.21093803644180298
5;0.966304361820221;0.10922882705926895;0.915217399597168;0.22450296580791473
6;0.971195638179779;0.09620600938796997;0.915217399597168;0.20368511974811554
7;0.9760869741439819;0.0786844864487648;0.9217391014099121;0.201729416847229
8;0.9831521511077881;0.07167406380176544;0.9195652008056641;0.19997762143611908
9;0.9858695864677429;0.06201360374689102;0.9239130616188049;0.20959819853305817
