epoch;accuracy;loss;val_accuracy;val_loss
0;0.783152163028717;0.467793732881546;0.873913049697876;0.3007398843765259
1;0.8782608509063721;0.2876679003238678;0.9021739363670349;0.25793513655662537
2;0.914130449295044;0.21662703156471252;0.8913043737411499;0.28381767868995667
3;0.927173912525177;0.1806919127702713;0.9021739363670349;0.240871399641037
4;0.9407608509063721;0.15272031724452972;0.9021739363670349;0.25642678141593933
5;0.957065224647522;0.11993752419948578;0.908695638179779;0.24164752662181854
6;0.967934787273407;0.10616816580295563;0.884782612323761;0.32121604681015015
7;0.97826087474823;0.08633484691381454;0.915217399597168;0.24311964213848114
8;0.980434775352478;0.07878749072551727;0.915217399597168;0.25632017850875854
9;0.978804349899292;0.0734739899635315;0.893478274345398;0.2832115590572357
