epoch;accuracy;loss;val_accuracy;val_loss
0;0.5494565367698669;1.055519700050354;0.647826075553894;0.6487878561019897
1;0.647826075553894;0.7348546981811523;0.6391304135322571;0.6963047981262207
2;0.679347813129425;0.6570735573768616;0.6608695387840271;0.6510541439056396
3;0.698369562625885;0.5993856191635132;0.7652173638343811;0.4961365759372711
4;0.6940217614173889;0.651028573513031;0.573913037776947;1.006817102432251
5;0.7010869383811951;0.740287184715271;0.7782608866691589;0.4858880043029785
6;0.741304337978363;0.5390302538871765;0.79347825050354;0.49090123176574707
7;0.727173924446106;0.5768226385116577;0.7152174115180969;0.5797584056854248
8;0.7527173757553101;0.5178685188293457;0.6804347634315491;0.648993968963623
9;0.7646738886833191;0.49099165201187134;0.75;0.5442491173744202
